Amine,Tail,Lipid_name,Num tails,MolWt,Value_name,Model_type,Target_or_delivered_gene,Delivery_target,Route_of_administration,Experiment_weight
Zhou_dendrimer_1A1,Zhou_dendrimer_SC1,Zhou_dendrimer_1A1-SC1,1,374.547,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1A2,Zhou_dendrimer_SC1,Zhou_dendrimer_1A2-SC1,1,431.643,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1A3,Zhou_dendrimer_SC1,Zhou_dendrimer_1A3-SC1,1,404.573,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1A4,Zhou_dendrimer_SC1,Zhou_dendrimer_1A4-SC1,1,376.563,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_1A5,Zhou_dendrimer_SC1,Zhou_dendrimer_1A5-SC1,1,390.59,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2A1,Zhou_dendrimer_SC1,Zhou_dendrimer_2A1-SC1,2,676.983,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2A2,Zhou_dendrimer_SC1,Zhou_dendrimer_2A2-SC1,2,706.025,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2A3,Zhou_dendrimer_SC1,Zhou_dendrimer_2A3-SC1,2,676.983,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2A5,Zhou_dendrimer_SC1,Zhou_dendrimer_2A5-SC1,2,662.956,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_2A6,Zhou_dendrimer_SC1,Zhou_dendrimer_2A6-SC1,2,676.983,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A3,Zhou_dendrimer_SC1,Zhou_dendrimer_3A3-SC1,3,982.423,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A5,Zhou_dendrimer_SC1,Zhou_dendrimer_3A5-SC1,3,1011.465,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A2,Zhou_dendrimer_SC1,Zhou_dendrimer_4A2-SC1,4,1233.726,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A4,Zhou_dendrimer_SC1,Zhou_dendrimer_4A4-SC1,4,1245.734,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A1,Zhou_dendrimer_SC1,Zhou_dendrimer_5A1-SC1,5,1503.133,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_5A2,Zhou_dendrimer_SC1,Zhou_dendrimer_5A2-SC1,5,1561.217,FFL silencing,HeLa,FFL,hela,in_vitro,1
