Lipid_name,Amine,Ketone,Isocyanide,Is_cyclic,Model_type,Delivery_target
LM_3CR_A1Iso8C6,LM_3CR_A1,LM_3CR_C6,LM_3CR_Iso8,Yes,HeLa,hela
LM_3CR_A1Iso9C6,LM_3CR_A1,LM_3CR_C6,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A1Iso10C6,LM_3CR_A1,LM_3CR_C6,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A2Iso12DC18,LM_3CR_A2,LM_3CR_2DC18,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A2Iso22DC18,LM_3CR_A2,LM_3CR_2DC18,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A2Iso32DC18,LM_3CR_A2,LM_3CR_2DC18,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A2Iso42DC18,LM_3CR_A2,LM_3CR_2DC18,LM_3CR_Iso4,Yes,HeLa,hela
LM_3CR_A2Iso72DC18,LM_3CR_A2,LM_3CR_2DC18,LM_3CR_Iso7,Yes,HeLa,hela
LM_3CR_A2Iso82DC18,LM_3CR_A2,LM_3CR_2DC18,LM_3CR_Iso8,Yes,HeLa,hela
LM_3CR_A2Iso102DC18,LM_3CR_A2,LM_3CR_2DC18,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A2Iso1C11,LM_3CR_A2,LM_3CR_C11,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A2Iso2C11,LM_3CR_A2,LM_3CR_C11,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A2Iso3C11,LM_3CR_A2,LM_3CR_C11,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A2Iso4C11,LM_3CR_A2,LM_3CR_C11,LM_3CR_Iso4,Yes,HeLa,hela
LM_3CR_A2Iso5C11,LM_3CR_A2,LM_3CR_C11,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A2Iso6C11,LM_3CR_A2,LM_3CR_C11,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A2Iso7C11,LM_3CR_A2,LM_3CR_C11,LM_3CR_Iso7,Yes,HeLa,hela
LM_3CR_A2Iso8C11,LM_3CR_A2,LM_3CR_C11,LM_3CR_Iso8,Yes,HeLa,hela
LM_3CR_A2Iso9C11,LM_3CR_A2,LM_3CR_C11,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A2Iso10C11,LM_3CR_A2,LM_3CR_C11,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A2Iso1C10,LM_3CR_A2,LM_3CR_C10,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A2Iso2C10,LM_3CR_A2,LM_3CR_C10,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A2Iso3C10,LM_3CR_A2,LM_3CR_C10,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A2Iso4C10,LM_3CR_A2,LM_3CR_C10,LM_3CR_Iso4,Yes,HeLa,hela
LM_3CR_A2Iso5C10,LM_3CR_A2,LM_3CR_C10,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A2Iso6C10,LM_3CR_A2,LM_3CR_C10,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A2Iso7C10,LM_3CR_A2,LM_3CR_C10,LM_3CR_Iso7,Yes,HeLa,hela
LM_3CR_A2Iso8C10,LM_3CR_A2,LM_3CR_C10,LM_3CR_Iso8,Yes,HeLa,hela
LM_3CR_A2Iso9C10,LM_3CR_A2,LM_3CR_C10,LM_3CR_Iso9,No,HeLa,hela
