Lipid_name,Amine,Tail,Delivery_target,Route_of_administration,Purity,Batch_or_individual,Experiment_weight,Mix_type
A14-T9 ,RM_carbonate_A14,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A35-T3 ,RM_carbonate_A35,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A47-T6 ,RM_carbonate_A47,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A63-T5 ,RM_carbonate_A63,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A23-T5 ,RM_carbonate_A23,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A44-T8 ,RM_carbonate_A44,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A18-T2 ,RM_carbonate_A18,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A22-T3 ,RM_carbonate_A22,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A5-T2 ,RM_carbonate_A5,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A31-T5 ,RM_carbonate_A31,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A48-T4 ,RM_carbonate_A48,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A19-T3 ,RM_carbonate_A19,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A63-T7 ,RM_carbonate_A63,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A2-T3 ,RM_carbonate_A2,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A21-T2 ,RM_carbonate_A21,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A47-T7 ,RM_carbonate_A47,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A5-T5 ,RM_carbonate_A5,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A33-T8 ,RM_carbonate_A33,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A52-T9 ,RM_carbonate_A52,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A21-T9 ,RM_carbonate_A21,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A7-T1 ,RM_carbonate_A7,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A28-T9 ,RM_carbonate_A28,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A2-T7 ,RM_carbonate_A2,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A18-T1 ,RM_carbonate_A18,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A25-T6 ,RM_carbonate_A25,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A33-T6 ,RM_carbonate_A33,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A35-T1 ,RM_carbonate_A35,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A37-T4 ,RM_carbonate_A37,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A4-T8 ,RM_carbonate_A4,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A31-T7 ,RM_carbonate_A31,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A22-T8 ,RM_carbonate_A22,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A7-T7 ,RM_carbonate_A7,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A47-T8 ,RM_carbonate_A47,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A20-T7 ,RM_carbonate_A20,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A36-T1 ,RM_carbonate_A36,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A16-T2 ,RM_carbonate_A16,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A39-T3 ,RM_carbonate_A39,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A7-T8 ,RM_carbonate_A7,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A2-T6 ,RM_carbonate_A2,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A25-T9 ,RM_carbonate_A25,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A71-T6 ,RM_carbonate_A71,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A9-T9 ,RM_carbonate_A9,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A7-T10 ,RM_carbonate_A7,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A1-T8 ,RM_carbonate_A1,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A4-T5 ,RM_carbonate_A4,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A42-T8 ,RM_carbonate_A42,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A15-T2 ,RM_carbonate_A15,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
