Lipid_name,4CR_Lipid_name,Amine,Isocyanide,Aldehyde,Carboxylic_acid,Model_type,Delivery_target,Route_of_administration,Experiment_weight,screen_id
IR_4CR_aldehyde_741-9,741-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_7,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_542-9,542-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_812-22,812-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_8,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_322-22,322-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_3,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_531-22,531-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_841-22,841-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_8,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_132-9,132-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_634-9,634-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_543-9,543-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_514-22,514-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_623-22,623-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_244-9,244-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_244-22,244-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_511-9,511-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_712-9,712-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_7,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_522-9,522-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_123-9,123-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_424-9,424-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_4,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_534-9,534-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_142-9,142-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_521-22,521-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
